A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,AA,AB,AC,AD,AE,AF,AG
785,55,16,106,110,52,38,70,183,180,59,74,50,96,8,24,0,0,3,2,0,0,0,0,0,1,2,1,1,2,1,1,0
786,54,24,145,73,69,37,100,187,126,112,87,97,115,10,21,1,1,2,2,0,1,0,1,2,0,1,0,0,0,1,0,1
787,28,32,134,79,74,37,65,161,279,122,52,210,138,4,15,1,2,3,3,2,0,0,1,0,1,2,1,1,2,1,1,0
788,20,31,119,84,105,40,108,179,162,157,83,201,138,7,20,1,2,2,0,2,0,0,1,0,1,0,2,1,3,0,0,0
789,50,19,133,101,110,36,96,180,185,150,59,226,108,8,20,1,1,3,1,2,0,0,0,2,0,2,1,1,4,1,1,1
790,23,26,163,108,104,40,59,183,217,145,45,246,98,10,19,1,2,0,2,2,0,0,0,1,1,0,2,1,0,1,1,0
791,67,20,144,67,84,35,105,169,272,146,81,107,100,4,13,0,0,2,1,1,1,0,0,2,1,0,2,1,3,0,0,0
792,27,36,108,87,108,36,60,159,285,51,70,97,134,4,22,0,1,2,1,1,0,1,0,0,1,1,0,0,0,1,0,1
793,22,23,118,105,88,38,99,167,137,159,100,234,84,5,14,1,1,2,2,2,0,0,1,0,1,1,0,0,0,1,0,1
794,40,34,91,80,106,35,102,200,262,179,53,241,78,7,17,1,0,2,3,2,0,0,0,0,2,2,1,1,4,1,1,0
795,27,15,125,82,116,36,90,146,145,172,49,148,82,6,13,0,2,3,1,2,0,0,0,1,1,2,1,1,4,1,1,0
796,61,36,108,91,83,38,78,192,226,165,56,230,114,9,14,1,2,2,3,1,1,0,1,2,2,0,2,1,0,1,1,0
797,19,29,96,67,90,35,50,143,170,86,31,237,75,10,12,0,2,1,2,0,0,0,1,1,2,1,0,0,0,1,0,0
798,30,35,115,90,71,39,96,167,230,179,89,175,113,4,15,1,2,0,1,2,0,0,0,2,0,1,0,0,0,1,0,0
799,57,40,168,96,76,40,42,194,233,110,80,163,71,6,22,1,2,0,2,0,0,0,0,0,1,1,0,0,0,1,0,0
800,19,20,127,75,70,40,76,174,112,89,30,139,98,5,17,1,2,2,2,2,0,1,0,0,1,1,0,0,0,1,0,0
801,82,33,92,99,90,40,64,172,273,74,35,162,117,4,12,0,1,0,0,1,0,0,0,0,1,0,2,1,3,0,0,1
802,80,32,169,101,80,39,60,146,189,172,67,220,81,9,25,1,2,0,2,2,0,0,0,0,1,1,0,0,0,1,0,0
803,90,20,155,86,76,36,119,148,211,86,83,218,136,7,23,0,2,1,2,2,0,0,1,2,2,0,2,1,0,1,1,0
804,34,27,160,99,86,37,81,173,132,76,89,156,119,6,12,0,0,2,2,2,1,0,0,1,1,0,2,1,3,0,0,0
805,26,15,132,100,115,35,40,178,161,133,56,203,80,7,19,1,0,0,2,1,1,0,0,2,2,0,2,1,3,0,0,0
806,32,37,151,77,103,36,62,181,162,93,91,236,74,6,18,1,0,0,0,1,0,0,1,0,1,0,2,1,3,0,0,0
807,41,37,160,94,58,37,63,173,155,121,92,154,114,10,18,1,2,2,0,1,0,0,0,1,1,0,2,1,3,0,0,0
808,55,40,113,108,91,40,86,152,138,181,64,226,116,5,18,0,2,0,0,2,0,0,0,2,2,1,0,0,0,1,0,0
809,52,27,128,111,85,40,46,168,159,104,87,241,75,4,16,0,2,0,3,1,1,0,1,0,1,0,2,1,0,1,1,0
810,66,21,157,74,59,40,77,174,204,122,90,182,138,4,15,0,2,0,2,2,0,0,0,2,2,2,1,1,2,1,1,0
811,86,29,133,112,108,37,86,184,226,61,65,221,132,5,24,1,2,2,2,0,0,0,0,0,2,2,1,1,4,1,1,0
812,79,26,94,86,89,35,74,149,182,191,85,67,136,9,18,1,1,0,2,2,1,0,0,0,2,2,1,1,4,1,1,1
813,77,40,144,76,103,35,117,169,251,55,96,234,116,9,22,0,0,3,2,1,1,0,0,2,1,0,2,1,3,0,0,0
814,67,15,119,99,88,37,101,183,277,96,86,161,103,8,25,0,1,0,0,1,0,0,1,0,2,1,0,0,1,0,0,1
815,26,29,118,61,56,38,112,165,204,200,70,89,81,6,14,0,2,3,1,2,1,0,0,0,1,0,2,1,3,0,0,0
816,51,18,115,108,53,40,42,174,260,164,60,151,96,9,20,0,2,2,2,1,0,1,0,2,1,1,0,0,1,0,0,0
817,52,27,172,109,64,36,59,167,173,117,32,162,138,9,13,1,2,2,0,1,0,0,1,0,2,1,0,0,1,0,0,0
818,18,37,115,90,97,35,83,168,234,108,67,223,137,6,12,1,2,0,1,2,0,1,1,0,1,0,2,1,0,1,1,0
819,57,39,126,120,55,37,71,191,273,186,82,107,97,8,19,1,1,2,2,1,0,0,1,0,1,0,2,1,3,0,0,1
820,81,19,180,96,84,38,65,145,221,168,81,134,140,5,25,0,0,2,2,1,0,0,0,0,2,0,2,1,3,0,0,0
821,39,16,142,100,120,39,87,142,161,97,53,201,114,7,17,1,0,2,0,0,0,1,1,2,0,1,0,0,0,1,0,0
822,77,37,119,100,117,37,44,168,100,58,55,205,71,7,25,0,2,2,2,2,0,0,1,2,1,2,1,1,2,1,1,0
823,81,40,92,93,107,38,98,196,178,95,66,95,78,5,24,0,2,0,3,0,0,0,1,0,1,1,0,0,1,0,0,0
824,89,15,132,93,68,39,100,141,217,192,77,245,100,7,25,1,1,1,1,1,0,0,1,0,2,2,1,1,2,1,1,1
825,28,30,96,110,111,38,88,194,164,121,96,121,105,5,15,0,1,0,2,1,0,0,0,0,1,1,0,0,0,1,0,1
826,31,37,138,114,120,35,69,161,272,177,70,231,84,6,21,1,2,3,1,2,0,1,1,0,0,2,1,1,4,1,1,0
827,77,20,162,118,59,37,56,185,282,159,78,82,131,10,20,1,2,2,2,2,0,1,0,0,1,0,2,1,0,1,1,0
828,47,37,130,62,74,39,109,186,165,194,57,116,100,6,16,0,2,0,0,0,0,0,0,2,2,2,1,1,2,1,1,0
829,52,30,166,76,93,38,97,189,166,84,61,162,96,10,24,0,2,1,1,2,0,0,1,0,0,1,0,0,0,1,0,0
830,54,28,168,73,107,39,102,166,199,181,100,133,71,8,22,0,0,2,3,2,1,0,0,2,2,0,2,1,3,0,0,0
831,22,40,143,73,74,36,100,190,153,97,100,212,112,10,12,0,1,0,1,2,0,0,0,0,0,2,1,1,2,1,1,1
832,43,17,158,105,89,37,102,161,220,191,61,88,70,9,12,0,2,2,2,0,0,0,0,2,1,1,0,0,0,1,0,0
833,79,29,180,97,119,35,54,149,199,95,67,224,78,5,25,0,2,0,2,0,0,0,0,0,1,2,1,1,2,1,1,0
834,21,17,116,94,59,39,40,191,290,97,49,120,129,9,18,0,0,1,1,1,0,0,0,0,1,0,2,1,3,0,0,0
835,59,37,97,60,115,40,52,188,281,56,37,54,71,7,25,1,2,2,3,2,1,0,0,0,2,1,0,0,1,0,0,0
836,35,16,121,107,74,38,87,188,202,144,97,214,127,5,24,1,2,1,2,2,0,0,0,0,1,2,1,1,4,1,1,0
837,57,15,173,88,120,40,73,158,279,109,55,50,134,4,12,0,2,1,1,0,0,0,0,0,2,1,0,0,1,0,0,0
838,89,23,153,63,60,39,69,163,281,84,99,174,81,8,17,0,0,2,2,0,0,0,1,2,0,0,2,1,3,0,0,0
839,56,23,99,120,85,40,58,166,294,197,77,233,124,4,18,1,0,1,2,1,0,1,1,2,0,1,0,0,1,0,0,0
840,31,37,102,92,98,38,103,175,264,193,98,184,79,8,22,1,1,2,1,0,0,0,1,0,2,1,0,0,1,0,0,1
841,49,21,152,76,97,39,105,182,207,199,75,162,134,8,21,0,2,2,1,0,0,0,1,0,0,0,2,1,3,0,0,0
842,68,17,124,87,56,35,96,156,111,68,87,241,134,8,16,0,2,0,2,1,0,0,0,0,2,0,2,1,3,0,0,0
843,55,40,150,109,100,35,83,195,286,179,99,57,130,10,14,0,2,0,2,2,0,0,1,2,1,2,1,1,4,1,1,0
844,40,32,143,85,66,37,51,149,247,117,96,157,138,4,14,0,2,2,2,2,0,0,0,0,2,0,2,1,0,1,1,0
845,80,25,97,67,81,35,79,193,186,147,58,175,104,8,23,0,2,2,1,2,1,0,0,2,2,0,2,1,3,0,0,0
846,32,21,118,93,75,39,63,156,185,56,39,175,80,5,13,1,2,2,2,2,0,0,0,0,1,1,0,0,0,1,0,0
847,42,23,130,118,71,39,50,183,131,96,100,241,137,5,22,1,2,0,1,1,0,0,0,0,0,0,2,1,3,0,0,0
848,34,15,119,77,62,35,105,149,170,92,94,234,107,4,23,1,2,2,2,0,0,0,1,2,0,0,2,1,0,1,1,0
849,83,28,175,90,61,36,40,149,143,81,94,77,108,10,23,0,0,0,1,1,0,0,1,0,2,0,2,1,3,0,0,0
850,70,34,110,118,120,39,97,177,165,194,46,203,90,10,12,1,2,2,2,2,1,1,0,0,0,2,1,1,4,1,1,0
851,68,20,165,86,50,37,67,156,177,177,51,83,105,6,25,0,2,2,3,1,1,0,0,0,2,2,1,1,4,1,1,0
852,56,21,100,75,82,36,107,165,154,168,43,145,89,6,22,0,0,2,2,2,1,0,0,0,1,0,2,1,0,1,1,0
853,68,24,91,117,63,35,98,165,115,63,35,71,112,4,19,1,2,2,1,2,0,0,1,0,2,0,2,1,3,0,0,0
854,87,21,139,69,113,38,110,190,187,130,59,173,90,10,24,0,2,1,0,0,1,0,0,2,0,0,2,1,0,1,1,0
855,23,40,130,99,92,39,61,173,170,101,76,197,104,8,20,1,1,0,2,0,0,0,1,2,1,1,0,0,0,1,0,1
856,84,16,155,71,107,38,68,143,167,53,49,191,133,8,13,1,2,1,1,2,0,1,0,0,1,0,2,1,0,1,1,0
857,24,18,92,81,90,40,113,189,279,82,45,200,101,8,25,1,0,2,0,2,0,1,0,0,1,0,2,1,3,0,0,0
858,68,35,169,75,117,37,117,166,223,155,97,116,105,4,24,1,0,3,1,2,0,0,0,0,1,2,1,1,2,1,1,0
859,89,31,140,71,88,36,108,200,264,178,63,196,138,8,24,0,2,2,2,2,0,1,0,0,1,2,1,1,4,1,1,0
860,59,15,157,70,50,38,84,160,273,146,30,127,121,5,15,0,2,1,2,2,1,0,0,0,1,0,2,1,0,1,1,0
861,81,24,176,79,90,37,109,175,268,113,77,88,73,8,14,0,2,2,2,1,0,0,0,2,0,0,2,1,3,0,0,0
862,32,33,173,110,94,38,56,177,232,177,37,214,76,4,15,0,2,0,1,2,1,0,1,0,2,0,2,1,3,0,0,0
863,46,29,114,60,62,38,118,185,293,86,51,148,140,8,15,0,1,1,2,1,1,1,0,2,0,0,2,1,3,0,0,1
864,50,24,119,86,120,37,78,170,104,175,97,178,93,5,19,0,0,1,2,1,1,0,1,2,0,2,1,1,2,1,1,0
865,44,33,171,62,58,39,79,146,290,119,63,68,90,9,22,0,2,3,1,0,1,0,0,0,0,2,1,1,2,1,1,0
866,53,26,100,71,112,38,67,183,224,184,89,64,126,4,14,1,2,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
867,46,38,106,89,72,37,41,173,230,153,74,50,88,6,14,0,2,0,1,2,0,1,0,2,0,2,1,1,4,1,1,0
868,55,30,115,68,103,38,66,157,235,163,66,80,97,4,23,0,2,0,3,2,0,0,0,2,2,2,1,1,2,1,1,0
869,74,23,112,112,96,39,60,163,253,104,52,229,101,7,17,1,2,2,2,0,0,1,0,0,0,0,2,1,0,1,1,0
870,44,29,145,120,88,37,46,152,173,170,53,220,103,6,22,1,2,0,1,2,1,0,0,0,0,0,2,1,3,0,0,0
871,72,31,141,113,75,38,100,152,224,172,42,223,85,6,14,0,2,2,2,1,0,0,0,0,2,0,2,1,0,1,1,0
872,50,28,137,96,50,35,91,164,197,52,98,135,107,4,16,0,2,1,2,0,0,0,0,2,1,1,0,0,0,1,0,0
873,85,32,109,60,63,39,87,144,222,141,89,99,73,7,15,1,2,1,0,2,0,0,0,2,0,0,2,1,3,0,0,0
874,83,40,91,101,114,38,58,178,199,200,67,69,125,6,22,1,2,2,1,2,0,1,0,1,2,1,0,0,1,0,0,0
875,27,16,177,108,118,36,112,168,152,168,77,154,109,9,15,1,0,1,3,1,0,0,1,0,2,0,2,1,3,0,0,0
876,22,18,120,63,116,37,51,183,175,190,55,239,119,8,13,1,1,2,0,1,0,0,0,2,0,2,1,1,2,1,1,1
877,55,32,116,74,98,38,110,196,227,110,30,92,109,7,20,1,2,2,2,1,0,1,0,2,1,0,2,1,0,1,1,0
878,30,21,91,110,99,39,41,185,256,150,33,54,118,7,16,1,2,2,0,2,1,0,0,2,2,2,1,1,4,1,1,0
879,48,27,167,86,107,39,56,172,113,165,96,115,117,9,16,1,2,2,2,1,1,0,0,2,0,0,2,1,0,1,1,0
880,64,29,93,67,102,36,114,163,104,82,42,189,75,9,18,1,2,2,2,1,0,0,1,0,0,0,2,1,3,0,0,0
881,69,39,102,119,106,36,115,149,211,127,68,177,74,4,23,0,1,2,2,1,0,0,0,0,0,1,0,0,0,1,0,1
882,73,37,124,119,67,40,42,197,126,73,60,234,114,4,14,1,0,3,0,2,1,0,0,1,1,2,1,1,4,1,1,0
883,32,36,161,82,65,40,60,164,224,199,53,237,85,4,23,0,1,0,2,1,0,0,0,0,1,0,2,1,0,1,1,1
884,46,40,155,74,51,38,117,180,295,101,34,232,86,7,17,0,1,3,1,0,1,0,0,2,0,0,2,1,0,1,1,1
885,25,15,95,86,62,35,118,149,128,150,78,120,128,5,12,0,2,0,2,1,0,0,0,2,2,0,2,1,3,0,0,0
886,22,25,120,90,94,39,90,178,102,165,40,115,125,4,16,1,0,0,0,0,0,0,1,0,2,2,1,1,4,1,1,0
887,46,24,99,98,92,35,49,155,257,172,53,249,104,5,16,1,2,2,0,0,1,0,0,1,2,1,0,0,0,1,0,0
888,64,39,110,106,103,35,94,199,236,55,74,122,77,6,20,0,2,1,2,2,0,0,1,1,1,1,0,0,0,1,0,0
889,85,19,163,67,80,38,75,167,100,196,63,204,130,8,23,0,2,1,1,1,1,0,0,2,2,0,2,1,0,1,1,0
890,62,30,112,89,58,37,90,151,122,125,40,205,96,9,16,0,2,0,1,1,1,0,0,0,2,0,2,1,0,1,1,0
891,19,25,92,117,97,37,113,183,166,139,86,214,89,8,19,1,2,0,1,1,1,0,1,0,1,2,1,1,2,1,1,0
892,44,35,121,114,67,37,56,197,259,172,58,128,126,5,14,1,2,0,0,2,1,0,1,2,1,0,2,1,0,1,1,0
893,53,20,109,101,60,36,100,171,105,113,51,68,139,9,23,1,2,0,3,1,0,0,0,2,1,2,1,1,2,1,1,0
894,53,23,163,77,111,39,114,190,148,191,62,228,92,7,22,1,2,2,2,1,0,0,1,2,1,2,1,1,4,1,1,0
895,43,27,118,63,68,36,52,168,242,130,78,62,71,10,17,1,0,2,2,1,0,0,1,2,2,2,1,1,2,1,1,0
896,60,38,141,106,73,39,104,184,285,120,52,94,96,8,25,1,1,2,2,2,1,0,0,0,1,0,2,1,3,0,0,1
897,44,22,135,102,62,40,119,192,280,198,98,55,101,5,25,1,2,1,0,1,0,0,0,0,2,0,2,1,3,0,0,0
898,86,28,123,81,95,39,113,200,129,114,58,178,119,4,13,0,0,3,0,1,0,0,1,2,0,1,0,0,0,1,0,0
899,37,38,173,62,102,39,87,189,139,162,35,155,133,5,20,0,1,1,2,1,1,1,0,1,0,1,0,0,0,1,0,1
900,28,15,150,74,78,38,109,166,286,151,81,170,109,6,17,1,1,0,2,2,0,0,0,0,0,2,1,1,4,1,1,1
901,55,31,161,94,85,37,86,165,162,53,43,74,102,9,16,0,2,3,1,1,1,0,1,0,2,1,0,0,1,0,0,0
902,23,38,160,106,120,36,49,142,147,185,46,203,98,5,20,0,2,2,2,2,1,0,1,0,1,2,1,1,2,1,1,0
903,89,19,159,97,66,40,96,165,223,195,57,190,102,4,12,1,2,3,2,2,0,0,0,0,2,0,2,1,3,0,0,0
904,40,39,100,92,97,36,119,178,167,109,38,68,86,10,14,1,0,1,2,2,1,0,0,0,1,2,1,1,2,1,1,0
905,64,16,171,73,73,38,52,140,234,94,95,187,134,5,24,1,2,2,0,2,1,0,1,0,2,2,1,1,2,1,1,0
906,63,39,178,107,103,39,100,174,274,121,33,222,112,4,13,0,0,0,2,0,0,0,0,2,0,2,1,1,2,1,1,0
907,29,38,152,60,50,40,97,192,142,144,49,120,132,9,20,1,2,2,1,1,1,1,0,1,2,0,2,1,0,1,1,0
908,30,23,110,112,116,37,107,166,243,80,70,64,127,4,22,1,0,0,3,2,1,0,0,2,2,0,2,1,3,0,0,0
909,79,18,92,108,55,35,68,185,121,169,65,156,112,6,17,1,2,0,2,1,0,1,0,2,2,0,2,1,3,0,0,0
910,77,31,171,85,104,35,55,143,162,113,35,208,106,6,22,0,2,0,1,0,1,1,1,0,1,1,0,0,1,0,0,0
911,60,31,177,67,87,38,102,158,273,116,94,175,115,8,17,1,2,2,3,1,0,0,1,0,1,1,0,0,0,1,0,0
912,85,35,99,109,82,37,86,161,272,158,79,185,94,10,16,1,1,0,2,2,0,0,1,0,2,1,0,0,0,1,0,1
913,22,32,116,75,57,35,82,199,140,117,93,79,136,4,15,1,1,3,3,2,1,0,1,0,1,2,1,1,4,1,1,1
914,54,30,101,97,69,35,62,145,252,84,32,147,120,4,15,1,2,2,2,2,1,0,1,0,0,0,2,1,0,1,1,0
915,89,22,96,69,104,40,69,191,149,147,66,146,107,10,13,1,1,2,2,2,0,1,0,2,1,1,0,0,1,0,0,1
916,48,40,106,101,97,40,96,148,166,85,32,50,107,10,18,1,2,2,0,2,0,0,0,0,1,1,0,0,0,1,0,0
917,26,25,154,96,105,36,69,150,279,181,62,65,70,4,17,1,1,2,2,0,0,0,1,0,1,2,1,1,2,1,1,1
918,68,35,153,85,59,37,106,161,185,98,88,163,123,8,14,1,2,2,1,1,0,0,1,2,2,0,2,1,0,1,1,0
919,46,35,115,87,101,35,95,186,258,67,44,60,134,7,23,1,0,3,2,1,0,0,0,2,2,2,1,1,4,1,1,0
920,57,32,104,71,99,40,63,148,136,109,85,204,91,6,18,1,2,3,1,0,1,0,1,0,2,2,1,1,2,1,1,0
921,58,37,122,79,83,40,116,168,249,135,90,135,130,6,20,1,1,0,2,1,0,1,0,2,0,2,1,1,2,1,1,1
922,28,38,151,108,85,40,115,182,126,187,97,217,127,4,21,1,2,0,2,0,0,0,0,0,2,0,2,1,0,1,1,0
923,40,24,136,73,110,36,47,197,219,162,100,221,123,8,25,1,2,2,1,2,0,0,0,0,2,0,2,1,0,1,1,0
924,18,27,124,105,65,37,83,149,229,72,97,119,88,4,12,1,2,0,2,1,1,0,0,0,1,0,2,1,3,0,0,0
925,63,31,154,94,67,39,119,173,121,117,91,169,139,6,23,1,2,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0
926,38,32,161,88,120,40,73,170,280,108,96,234,103,9,22,0,2,2,3,2,0,0,1,0,2,0,2,1,3,0,0,0
927,53,24,165,71,96,37,74,161,116,139,52,225,113,8,23,0,2,2,2,0,0,0,0,0,2,2,1,1,2,1,1,0
928,71,30,172,111,81,38,89,185,211,56,43,217,136,5,21,1,2,2,0,1,1,0,0,0,0,2,1,1,4,1,1,0
929,74,34,114,77,92,36,56,143,224,62,35,88,121,6,19,1,1,3,2,1,1,0,1,0,1,0,2,1,0,1,1,1
930,18,19,146,103,89,39,41,141,155,180,62,180,91,5,25,0,1,2,3,0,0,0,1,0,1,2,1,1,2,1,1,1
931,80,27,121,61,114,40,93,144,258,60,38,232,98,7,13,0,2,1,3,2,0,0,0,0,1,2,1,1,2,1,1,0
932,71,32,152,61,84,40,83,185,142,100,41,50,83,5,12,0,2,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0
933,72,31,101,118,118,36,120,154,299,200,80,72,131,8,20,0,0,1,2,2,0,0,1,2,1,2,1,1,4,1,1,0
934,57,23,152,76,99,36,88,158,220,81,32,244,84,5,13,0,2,0,0,0,0,1,1,2,2,0,2,1,3,0,0,0
935,32,28,166,69,61,35,41,177,280,91,85,239,83,7,18,1,2,0,3,2,1,0,0,0,0,0,2,1,0,1,1,0
936,38,31,90,77,107,40,111,198,232,151,75,164,136,6,18,1,2,0,2,2,1,0,1,1,1,2,1,1,4,1,1,0
937,64,18,140,81,112,37,109,154,229,170,65,211,91,7,12,1,2,2,2,1,0,0,0,2,1,2,1,1,2,1,1,0
938,90,32,159,78,98,36,48,185,220,127,42,194,76,8,24,0,2,2,2,2,0,1,1,0,0,1,0,0,0,1,0,0
939,70,34,97,117,85,36,40,147,286,121,42,97,76,9,25,0,0,2,0,1,1,0,1,0,2,1,0,0,1,0,0,0
940,26,38,157,112,103,38,108,159,231,155,87,140,86,9,21,1,1,3,2,2,1,0,0,0,1,1,0,0,0,1,0,1
941,69,38,94,60,96,38,48,151,261,168,63,102,101,5,25,1,2,0,1,2,0,0,0,2,2,2,1,1,2,1,1,0
942,74,29,178,83,81,38,53,143,294,82,72,110,125,5,12,0,0,2,2,2,1,0,1,0,2,0,2,1,3,0,0,0
943,43,25,175,120,102,36,66,192,211,128,57,152,131,8,18,1,2,0,0,1,1,0,0,0,1,2,1,1,4,1,1,0
944,58,26,128,95,81,39,48,177,300,127,85,151,127,4,17,0,2,2,2,2,0,0,0,0,0,0,2,1,0,1,1,0
945,52,23,112,84,111,37,75,182,233,168,76,188,127,8,15,0,2,1,3,2,0,0,1,0,0,2,1,1,4,1,1,0
946,80,27,157,95,86,36,118,194,285,106,64,192,72,10,14,1,2,0,2,2,0,0,0,0,2,0,2,1,3,0,0,0
947,42,29,141,90,87,35,42,193,274,101,48,139,70,10,16,1,1,0,2,1,1,1,0,0,1,1,0,0,0,1,0,1
948,55,29,93,90,79,40,62,178,104,121,80,167,136,8,16,0,2,2,2,2,0,1,0,0,2,2,1,1,2,1,1,0
949,19,19,136,61,107,39,112,196,160,117,49,188,89,7,22,1,1,0,2,2,0,1,0,1,1,1,0,0,0,1,0,1
950,24,37,110,78,81,39,69,175,155,149,58,184,131,7,14,0,2,3,0,2,1,1,0,2,2,1,0,0,0,1,0,0
951,51,33,145,112,115,37,58,197,201,131,94,96,125,8,25,0,2,1,0,2,0,1,1,1,0,1,0,0,0,1,0,0
952,34,40,155,71,100,39,106,154,262,108,67,185,122,6,17,0,2,0,1,0,0,0,0,2,1,1,0,0,0,1,0,0
953,60,34,148,69,60,37,89,140,218,68,78,54,134,5,23,0,2,1,3,2,1,1,1,2,0,0,2,1,3,0,0,0
954,76,40,96,90,108,39,87,170,112,52,57,136,125,8,25,1,0,1,2,2,0,1,1,1,2,0,2,1,3,0,0,0
955,68,39,138,104,69,40,42,148,125,88,62,243,114,4,14,0,2,2,3,1,0,0,0,0,2,1,0,0,0,1,0,0
956,71,40,105,120,86,37,105,162,163,115,42,140,87,5,24,1,1,2,2,1,0,0,1,0,0,1,0,0,0,1,0,1
957,41,40,106,81,98,38,66,191,238,122,73,112,117,10,15,0,2,1,0,1,0,0,1,0,0,2,1,1,4,1,1,0
958,42,28,173,82,68,38,79,165,161,183,81,70,107,6,14,1,0,1,2,2,0,0,0,2,2,0,2,1,3,0,0,0
959,88,31,176,111,104,39,57,179,274,77,70,248,91,8,23,0,2,0,1,2,0,1,1,2,1,2,1,1,4,1,1,0
960,69,32,164,82,89,39,66,183,223,147,78,168,140,9,23,0,2,1,2,2,0,1,0,2,2,1,0,0,0,1,0,0
961,87,35,123,74,56,37,50,178,169,142,36,170,70,6,17,0,2,1,0,1,1,0,0,2,2,2,1,1,2,1,1,0
962,50,17,122,85,54,37,78,199,174,175,65,151,111,9,25,1,2,2,0,2,0,1,0,0,1,0,2,1,0,1,1,0
963,66,16,115,62,91,40,58,157,285,65,55,139,138,5,20,1,2,0,2,2,0,0,1,0,0,0,2,1,3,0,0,0
964,46,15,155,82,97,36,46,172,109,84,56,189,98,4,14,1,2,2,0,2,0,0,1,0,1,0,2,1,0,1,1,0
965,80,24,152,79,56,38,96,180,243,124,53,161,75,5,25,0,2,2,0,2,0,1,0,2,1,1,0,0,0,1,0,0
966,39,33,176,120,60,36,41,178,111,156,100,188,125,9,12,0,2,0,2,2,0,0,0,0,2,0,2,1,3,0,0,0
967,43,31,130,104,98,36,77,153,298,136,62,231,81,9,25,0,1,1,0,2,0,0,1,1,2,1,0,0,1,0,0,1
968,45,26,175,99,79,35,44,197,187,118,47,187,108,5,24,0,2,3,1,2,0,0,0,0,2,2,1,1,4,1,1,0
969,66,15,147,116,90,37,117,140,149,165,34,168,140,9,18,1,2,0,0,2,0,0,0,0,2,2,1,1,2,1,1,0
970,88,26,168,98,52,35,75,152,242,57,30,65,81,8,23,0,2,2,2,0,1,0,0,2,2,0,2,1,3,0,0,0
971,66,31,99,115,89,35,107,191,158,156,100,192,102,10,16,1,2,2,2,2,0,0,0,2,1,1,0,0,1,0,0,0
972,37,38,104,67,100,36,116,154,297,156,32,235,122,10,15,1,2,2,0,0,0,0,1,0,2,1,0,0,0,1,0,0
973,80,17,131,77,81,35,96,176,161,163,65,168,88,5,14,0,2,2,2,0,0,0,0,0,2,1,0,0,1,0,0,0
974,78,25,146,100,97,40,59,144,171,59,64,133,127,8,18,0,2,1,1,2,0,0,1,1,1,2,1,1,4,1,1,0
975,66,31,176,65,120,37,44,153,289,77,80,181,112,8,13,1,0,0,1,2,0,0,0,0,0,0,2,1,0,1,1,0
976,88,37,106,86,120,36,63,153,149,109,41,71,114,9,22,1,0,3,1,0,0,0,1,0,1,0,2,1,0,1,1,0
977,18,40,149,95,69,37,69,185,153,59,44,212,88,9,15,0,2,2,1,2,0,0,1,0,2,1,0,0,0,1,0,0
978,30,17,98,74,84,40,67,144,153,191,33,191,106,10,13,0,0,2,1,2,0,0,1,2,1,0,2,1,3,0,0,0
979,68,22,125,96,73,39,92,150,255,151,85,143,80,10,21,0,2,1,2,0,0,0,0,2,0,0,2,1,0,1,1,0
980,73,34,162,117,89,35,90,171,203,112,45,80,125,6,19,1,2,1,2,0,0,1,1,0,2,1,0,0,0,1,0,0
981,79,18,169,64,101,36,46,190,150,105,35,119,94,9,14,0,0,2,0,1,0,0,0,2,2,0,2,1,3,0,0,0
982,49,35,125,98,88,38,81,144,173,183,92,140,138,10,16,0,0,0,0,0,0,0,0,2,2,1,0,0,0,1,0,0
983,47,36,137,68,117,37,74,175,260,196,52,177,114,4,22,0,2,2,2,0,0,0,1,1,1,0,2,1,0,1,1,0
984,46,21,140,66,110,40,73,154,228,177,73,60,131,8,15,1,2,0,0,1,0,0,0,0,1,0,2,1,3,0,0,0
985,66,28,159,100,114,35,112,192,184,127,30,85,83,7,16,0,0,2,2,2,1,0,1,0,1,0,2,1,3,0,0,0
986,62,28,163,79,111,37,115,146,168,188,86,129,103,9,15,1,2,1,2,1,0,0,0,0,2,0,2,1,3,0,0,0
987,47,18,169,69,51,40,93,144,228,95,56,73,129,9,19,1,2,2,2,1,0,1,0,2,1,1,0,0,0,1,0,0
988,33,30,157,85,55,37,68,169,216,118,54,217,133,6,17,1,0,0,1,2,0,0,1,0,2,2,1,1,4,1,1,0
989,57,38,111,63,92,39,49,154,154,94,91,162,139,8,25,0,2,2,2,2,0,1,0,2,0,2,1,1,4,1,1,0
990,36,36,166,97,89,40,66,169,184,144,47,91,120,10,24,1,2,2,0,2,0,1,1,1,1,2,1,1,4,1,1,0
991,35,15,169,83,88,37,52,153,188,157,59,70,111,8,12,0,2,1,3,2,0,1,1,1,0,2,1,1,2,1,1,0
992,18,31,95,73,77,39,81,163,272,107,59,145,90,6,16,1,2,0,3,2,0,0,0,0,1,2,1,1,2,1,1,0
993,64,39,115,100,112,39,76,163,172,164,76,100,74,5,12,1,1,0,2,1,0,0,1,0,2,0,2,1,3,0,0,1
994,83,24,164,60,113,39,100,174,179,59,51,130,135,8,23,0,2,2,3,2,1,0,1,1,1,1,0,0,1,0,0,0
